,,,,,,,
Hint,Full words,Word 1,Word 2,Word 3,Word 4,Difficulty,Group No
London tube stations,"Green Park, Bond Street, Kings Cross, Canary Wharf",Green,Bond,Cross,Wharf,,8
Nicky's favourite brands,"Häagen-Dazs, Twinings, M&S, Oyster Bay",Häagen - Dazs,Twinings,M&S,Oyster Bay,,9
Club points schemes/pyramid schemes (some of us have a connection to this),"Pret Club, British Airways Points, ProArgine, Herbal Life",Pret,British Airways,ProArgine,Herbal Life,,9
Disney theme parks,"Animal Kingdom, Magic Kingdom, Typhoon Lagoon, Hollywood Studios",Animal,Magic,Typhoon,Hollywood,,9
Australian animals,"Emu,Box Jellyfish,Wombat, Funnel web spider",Emu,Jellyfish,Wombat,Funnel web,,9
Rugby positions,"Outside centre, Inside centre, Full back, Blindside flanker",Outside ,Inside,Full,Blindside,,10
Types of snakes seen by us,"Rattle, Tiger, Brown, Cobra",Rattle,Tiger,Brown,Cobra,,10
Beaches near Croyde,"Saunton, Putsborough, Woolacombe, Crow",Saunton,Putsborough,Woolacombe,Crow,,10
Things that have split,"Tom's trousers, Becky's dress, Banana split, Split decisions",Trousers,Dress,Banana,Decisions,,10
Wholefoods stores in London,"Picadilly, High street kensington, Camden, Stoke Newington",Picadilly,High street,Camden,Stoke,,11
Museums in london (some of you have visited),"Churchill War rooms, Madame Tussauds,Tate Modern, Victoria & Albert",Churchill,Tussauds,Tate,Victoria,,11
Types of biscuits (often carried on walk) ,"Tuc, Marie, Digestive (eaten with butter by Dan Fouhy), Malted Milk",Tuc,Marie,Digestive,Malted,,11
Types of seals (some people like seals),"Elephant, Gray, Harbor, Monk",Elephant,Gray,Harbor,Monk,,11
Words with palm in them,"Palm Beach, Palm Oil, Palm of your Hand, Palm Tree",Beach,Oil,Hand,Tree,,12
Founding fathers US (for all those US people) ,"George Washington, John Smith, James Madison, Thomas Jefferson",George,John,James,Thomas,,12
Songs by Billy Joel (one which Dean sang),"We didn't start the Fire, Piano Man, Uptown Girl, She's only a woman",Fire,Piano,Uptown,Woman,,12
Characters in suits,"Louis Litt, Rachel Zane, Harvey Spectar, Jessica Pearson",Louis,Rachel,Jessica,Harvey,,12
Songs in Lion King,"Circle of Life, Can you feel the Love tonight, Hakuna Matata, Just can't wait to be King",Circle,Love,Hakuna,King,,13
Songs by T-Rex (Billy Elliot),"We love to Boogie, Ride a White swan, Cosmic Dancer, Children of the Revolution",Boogie,White swan,Cosmic,Revolution,,13
Marathons run,"Melbourne, London, Manchester, Boston",Melbourne,London,Manchester,Boston,,13
Surfing moves (for the surfers) ,"Cut back, Carve, Bottom, Turn, Snap ",Cut back,Carve,Bottom,Snap ,,13
